title,artist,genre,released_year,song_key,bpm,camelot,Instrumental_type,ranked
No Place,Rude Lies,Dance/Edm,2019,B Minor,126,10A,No
I Don'T Wanna Live Forever,Zayn,Pop,2016,C Major,118,8B,No
Sorry,Joel Corry,Dance Pop,2019,A-Flat Minor,125,1A,No
Selfish,Dimitri Vegas & Like Mike,Dance Pop,2019,G Minor,93,6A,No
Polaroid,Jonas Blue,Dance Pop,2018,G Minor,114,6A,No
No Vacancy,One Republic,Edm/Pop,2017,F Major,100,7B,No
The Nights <Felix Jaehn Remix>,Avicii,Edm/Pop,2014,F-Sharp Major,123,2B,No
We Found Love <Zack Martino & Kastra Remix>,Sultan & Shepard,Dance/Edm,2019,F-Sharp Minor,126,11A,No
Somebody Out There,Lost Kings,Dance Pop,2019,D-Flat Major,102,3B,No
Ispy,Kyle,Hip Hop/Pop,2018,C Major,150,8B,No
Honey I'M Good <Club Mix>,Andy Grammer,Edm/Pop,2015,A Major,123,11B,No
Don'T Start Now,Dua Lipa,Pop,2019,B Minor,124,10A,No
All Star <Breathe Carolina Remix>,Smash Mouth,Dance Pop,2019,E-Flat Minor,115,2A,No
Dancin' <Krono Remix>,Aaron Smith,Pop,2014,B-Flat Minor,120,3A,No
I Like It <Dillon Francis Remix>,Cardi B,Edm/Pop,2018,F Minor,150,4A,No
The Heart Wants What It Wants,Selena Gomez,Pop,2014,G Minor,83,6A,No
Stupid In Love,Rihanna,Pop,2009,C Minor,127,5A,No
Gold,Kiiara,Edm/Pop,2015,A-Flat Major,113,4B,No
Runaway,Armin Van Buuren,Edm,2019,B Minor,125,10A,No
Somebody To You,The Vamps,Pop,2014,E-Flat Major,172,5B,No
Can'T Help Falling In Love,Christian Leave,Pop,2016,C Major,126,8B,No
Never Be The Same,Camila Cabello,Hip Hop/Pop,2017,C Major,130,8B,No
Not Ok <Frank Walker Remix>,Kygo,Dance/Edm,2019,D Major,122,10B,No
Something About You <Odesza Remix>,Hayden James,Tropical,2015,B Minor,105,10A,No
Kashmir,Led Zeppelin,Classic Rock,1975,D Major,81,10B,No
Summer Air <Dubvision Remix>,Hardwell,Edm,2019,E Major,126,12B,No
Time Of Our Lives,Olivia Holt,Pop,2014,D Major,200,10B,No
Say Something,A Great Big World,Pop,2014,D Major,141,10B,No
Your Love Is My Drug,Kesha,Pop,2010,D-Flat Major,120,3B,No
Goodbyes,Post Malone,Pop,2019,F Major,150,7B,No
Blue Sky,Cazzette,Tropical,2016,G Minor,123,6A,No
Graveyard,Halsey,Pop,2019,B Minor,92,10A,No
Heroes <Jai Wolf Remix>,Alesso,Edm/Pop,2014,A Minor,140,8A,No
Somebody Else,Zonoma,Edm/Pop,2017,C Minor,107,5A,No
We Classic Rock,Camp Classic Rock,Pop,2008,A-Flat Minor,144,1A,No
